City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Calama,CL,-22.4667,-68.9333,41.49,8,0,23.02,clear sky
80,Tahe,CN,52.3333,124.7333,52.38,98,100,6.08,overcast clouds
81,Ushtobe,KZ,45.2514,77.9838,83.86,25,90,13.87,overcast clouds
82,Tambun,ID,-6.2641,107.0712,82.04,73,47,4.34,scattered clouds
83,Berlevag,NO,70.8578,29.0864,58.95,63,100,16.11,overcast clouds
84,Georgetown,MY,5.4112,100.3354,84.15,79,20,2.3,few clouds
85,Narsaq,GL,60.9167,-46.05,46.62,69,11,6.06,few clouds
86,Taoudenni,ML,22.6783,-3.9836,117.63,7,4,12.91,clear sky
87,Touros,BR,-5.1989,-35.4608,82.96,64,84,16.26,broken clouds
88,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,78,40,6.91,scattered clouds
89,Avallon,FR,47.4833,3.9,93.42,15,0,12.57,clear sky
90,Tigil,RU,57.8,158.6667,63.95,75,100,10.76,overcast clouds
91,Hualmay,PE,-11.0964,-77.6139,62.11,77,66,4.68,broken clouds
92,Rocha,UY,-34.4833,-54.3333,54.1,63,88,10.22,light rain
93,Porto Novo,BJ,6.4965,2.6036,82.22,57,99,12.08,overcast clouds
94,Mahebourg,MU,-20.4081,57.7,70.09,88,75,19.57,broken clouds
95,Longyearbyen,SJ,78.2186,15.6401,46.24,81,75,8.05,broken clouds
96,Eureka,US,40.8021,-124.1637,59.67,91,62,2.48,broken clouds
97,Shahada,IN,21.55,74.4667,79.75,87,100,11.92,overcast clouds
98,Waddan,LY,29.1614,16.139,97.5,16,0,11.07,clear sky
99,Kupang,ID,-10.1667,123.5833,77.11,82,6,12.41,clear sky
100,Nisia Floresta,BR,-6.0911,-35.2086,84.58,62,92,13.71,overcast clouds
101,Camopi,GF,3.1655,-52.3158,86.92,54,99,5.61,overcast clouds
102,Okmulgee,US,35.6234,-95.9605,75.06,100,100,12.66,overcast clouds
103,Adelanto,US,34.5828,-117.4092,79.03,38,13,4.09,few clouds
104,Mauldin,US,34.7787,-82.3101,81.32,88,100,9.22,mist
105,Bethel,US,41.3712,-73.414,88.47,71,0,11.5,clear sky
106,Tres Arroyos,AR,-38.3739,-60.2798,46.92,59,0,7.74,clear sky
107,Peterhead,GB,57.5058,-1.7981,78.46,80,100,8.86,overcast clouds
108,Necochea,AR,-38.5473,-58.7368,49.46,56,5,7.05,clear sky
109,Celestun,MX,20.8667,-90.4,79.39,79,11,6.11,few clouds
110,Juneau,US,58.3019,-134.4197,52.84,97,75,0.0,broken clouds
111,Skibbereen,IE,51.55,-9.2667,67.1,55,90,4.7,overcast clouds
112,Nyurba,RU,63.2842,118.3319,55.76,93,97,5.57,overcast clouds
113,Faanui,PF,-16.4833,-151.75,76.19,66,100,8.41,overcast clouds
114,Geraldton,AU,-28.7667,114.6,55.81,67,40,11.5,scattered clouds
115,Lodja,CD,-3.4833,23.4333,100.67,14,28,3.2,scattered clouds
116,Carnarvon,AU,-24.8667,113.6333,63.43,55,77,21.45,broken clouds
117,Saint-Philippe,RE,-21.3585,55.7679,71.19,77,100,16.33,overcast clouds
118,Meulaboh,ID,4.1363,96.1285,79.3,80,89,1.5,overcast clouds
119,Sao Filipe,CV,14.8961,-24.4956,79.95,80,100,3.76,overcast clouds
120,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,18.41,scattered clouds
121,Cape Town,ZA,-33.9258,18.4232,70.12,64,0,16.11,clear sky
122,Pastavy,BY,55.1168,26.8326,68.61,62,14,3.24,few clouds
123,La Ronge,CA,55.1001,-105.2842,55.65,82,75,11.5,broken clouds
124,Kyren,RU,51.6828,102.1408,59.97,81,69,0.76,broken clouds
125,Tezu,IN,27.9167,96.1667,82.36,79,48,3.11,scattered clouds
126,Bredasdorp,ZA,-34.5322,20.0403,67.62,58,100,8.34,overcast clouds
127,Port Elizabeth,ZA,-33.918,25.5701,72.32,61,0,11.5,clear sky
128,Masumbwe,TZ,-3.6333,32.1833,88.09,19,30,3.31,scattered clouds
129,Ust-Tsilma,RU,65.441,52.1498,65.01,42,100,5.64,overcast clouds
130,Te Anau,NZ,-45.4167,167.7167,27.03,93,25,0.76,scattered clouds
131,Channel-Port Aux Basques,CA,47.5702,-59.1367,59.31,95,100,12.28,heavy intensity rain
132,Lorengau,PG,-2.0226,147.2712,80.82,81,100,7.31,overcast clouds
133,Torbay,CA,47.6666,-52.7314,56.75,91,100,10.36,moderate rain
134,Vila Velha,BR,-20.3297,-40.2925,78.75,81,100,4.61,overcast clouds
135,Farah,AF,32.5,62.5,101.89,8,0,29.95,clear sky
136,San Patricio,US,28.017,-97.5169,85.89,68,18,7.16,few clouds
137,Beringovskiy,RU,63.05,179.3167,45.54,81,0,10.09,clear sky
138,Kamaishi,JP,39.2667,141.8833,78.62,78,100,10.42,overcast clouds
139,Iracoubo,GF,5.4802,-53.2011,85.53,63,89,9.35,overcast clouds
140,Pachino,IT,36.7186,15.0907,83.37,63,6,2.57,light rain
141,Cidreira,BR,-30.1811,-50.2056,57.69,87,100,20.8,overcast clouds
142,Fortuna,US,40.5982,-124.1573,58.93,94,100,0.0,overcast clouds
143,Bilma,NE,18.6853,12.9164,102.15,23,2,2.84,clear sky
144,Alofi,NU,-19.0595,-169.9187,71.49,94,6,3.44,clear sky
145,Ketchikan,US,55.3422,-131.6461,58.98,72,0,6.91,clear sky
146,Alamogordo,US,32.8995,-105.9603,75.78,64,0,3.44,clear sky
147,Ewa Beach,US,21.3156,-158.0072,78.75,70,0,13.8,clear sky
148,Krasnyye Tkachi,RU,57.4926,39.7563,62.42,78,100,1.63,overcast clouds
149,Skjervoy,NO,70.0311,20.9714,57.2,81,100,29.84,overcast clouds
150,Tautira,PF,-17.7333,-149.15,73.98,69,100,7.99,overcast clouds
151,Bandarbeyla,SO,9.4942,50.8122,81.77,65,100,31.43,overcast clouds
152,Lukulu,ZM,-14.3707,23.242,89.24,7,0,6.62,clear sky
153,Toora-Khem,RU,52.4675,96.11,56.46,90,100,1.66,overcast clouds
154,Anadyr,RU,64.75,177.4833,46.9,75,0,11.18,clear sky
155,Pochutla,MX,15.7432,-96.4661,78.82,71,92,2.71,overcast clouds
156,Broome,US,42.2506,-75.833,77.16,85,100,12.66,mist
157,Hibbing,US,47.4272,-92.9377,67.42,94,0,4.61,clear sky
158,Nhulunbuy,AU,-12.2333,136.7667,74.01,88,45,6.91,scattered clouds
